Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,Employer Provided Salary:$150K,Data Scientist,"We are adding a Data Scientist to our growing team!

ABOUT AMERICAN CAPITAL GROUP
American Capital Group is a fully-integrated real estate development company. Over the last 33 years, our company has developed and built more than 80 multifamily properties across twelve states. We remain an industry leader because we know and manage internally Engineering and Design, Acquisition, Development, Construction, Property Management, and Asset Management. We strongly value teamwork, integrity, transparency and producing the highest quality of product for our investors and customers.",American Capital Group,4.3,"Bellevue, WA",51 to 200 Employees,1986,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Division Director Data Science,Employer Provided Salary:$58 Per Hour,Data Scientist,"Rainy Day Recruiter has a Top Client in need of a Divisional Data Scientist
Healthcare Experience Required.
Job Responsibilities:
The role of the data scientist is to use mathematics, programming, big data management and visualization to discover opportunities and insights arising from data systems.
This role is firmly customer facing, with an expectation of constant contact, communication and iteration with both clinical and business customers to define questions, explore solutions and present results. As such the data scientist must be comfortable and capable of clearly communicating the nature and results of complex analytics to non-technical users in written, spoken and visual means.",Rainy Day Recruiter,-1,"Dallas, TX",-1,-1,-1,-1,-1,-1
Senior Data Scientist,Employer Provided Salary:$130K,Data Scientist,"Job Title:
Senior Data Scientist
Reports To:
Chief Technology Officer
Company:
NIC MAP Vision LLC
Job Overview:
The Senior Data Scientist role is an individual contributor role that collaborates with multiple teams across the company to grow and improve our Data Initiatives. Broadly, the Senior Data Scientist is responsible for leading the charge to assemble data from our various data sets with the help of our Data Engineering Team, and then leverage modern data science techniques to design, test, and implement models that can be used by our platform to further inform the analyses we provide. A deep understanding of statistics, machine learning platforms (R, python, Jupyter notebooks), and some elements of software development are all required.",NIC MAP Vision,-1,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,Data Scientist,"At Ezoic, we build a platform to help online publishers (i.e. Internet web sites) improve their monetization and ensure a fantastic user experience. Our all-in-one digital publishing platform offers a comprehensive suite of tools that automate many of the technical aspects of running a successful web site so publishers can focus on connecting with their audience and writing great content.
Artificial Intelligence is at the core of everything that we do, and we are looking for a motivated, creative, results-oriented data scientist to develop novel, scalable models that improve website experiences for tens of millions of visitors each day. This is a high-impact position that will contribute to the very heart of our product.
What you'll do:
Develop machine learning models using our in-house neural network architecture, open source tools, or custom solutions built from scratch.",Ezoic,4.6,"Carlsbad, CA",51 to 200 Employees,2010,Company - Private,Research & Development,Business Services,$100 to $500 million (USD)
Data Engineer,Employer Provided Salary:$125K - $150K,Data Engineer,"At AFS, you will use your deep understanding of machine learning and artificial intelligence to tackle meaningful technical problems, and be a key early member of a team building the most innovative computer vision products solving some of the biggest challenges in agriculture. You will perform fundamental research by defining, designing, implementing and evaluating algorithms involving unrivaled data and objectives. You will also actively engage with the academic community by collaborating with leading precision crop load management researches at leading universities in agriculture (e.g. Cornell, UMass-Amherst, MSU, WSU)
You will work closely with with the technical CEO and founder
Upgrade a machine learning pipeline based on current pilot workflow.
This project included developing the dataset loaders, data augmentation functions, deep learning models, and loss functions.",FruitScout,-1,Remote,-1,-1,-1,-1,-1,-1
"Data Analyst, Population Health",Employer Provided Salary:$110K - $140K,Data Analyst,"Data Analyst, Population Health
HDAI is a well-funded, high-growth, and ambitious startup that is using artificial intelligence to provide clinical and operational guidance that supports population health and clinical decision-making. We are partnering with premier health systems to deploy actionable AI, with a particular focus on delivering insights that support population health initiatives.
We are looking for a statistically savvy, technically adept Data Analyst, Population Health to conduct analyses and develop visualizations with data derived from one of healthcare’s largest data sets. This data scientist will work closely with our research, product, and sales teams to deliver understandable, actionable, and compelling insights.
Key responsibilities",Health Data Analytics Institute,-1,"Dedham, MA",-1,-1,-1,-1,-1,-1
Director Data Science,Employer Provided Salary:$200K,Data Scientist,"Title: Division Director Data Science
Location: Dallas, TX
Duration: Permanent
Reports to Chief Medical Officer
Job Summary:
The client is responsible for the development and implementation of Clinical Quality Programs as well as the expansion of processes and performance related to Clinical Data Management (CDM) strategy. Data Science is a new function within client focusing on utilizing our data resources to improve clinical and operating performance.
The leadership team is focused on identifying such opportunities and working with the wider organization to operationalize them.",Patterns,-1,"Dallas, TX",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$67 - $77 Per Hour,Data Scientist,"Job Description:
Title: Data Scientist
Location: Menlo Park, CA
Duration: 6 months contract
Goals/Metrics
Primary KPI is actionable insights delivered to the business.
Day-to-Day Responsibilities/Scope:
Audience insights: deep dive on specific segments/subsegments of advertisers that need better understand work",Vertisystem,-1,"Menlo Park, CA",-1,-1,-1,-1,-1,-1
Predictive Modeler,Employer Provided Salary:$75K - $125K,Data Modeler,"Predictive Modeler
Lancer Insurance Company, Inc. – Long Beach, NY
Lancer Insurance Company is looking for a talented and motivated predictive modeler to work with a data architect and/or data scientist to develop predictive models to provide modeling solutions that meet organizational needs and to perform in-depth analysis to guide and support strategic business decisions. The right candidate will be a successful communicator and self-starter with strong analytical skills who exhibits creativity, hustle, integrity, and teamwork.
Duties and Responsibilities:
· Identify areas where data can be used to improve business activities, defining business users’ requirements. Make recommendations for the usage of data in business and communicate the benefits and return on investment for application and product owners.",Lancer Insurance Company,3.3,Remote,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
Data Scientist,Employer Provided Salary:$90K - $125K,Data Scientist,"MetLife Legal Plans
Data Scientist
About Us
MetLife Legal Plans is the leading consumer legal service in the United States, providing the best legal services for working families. Through our network of over 17,000 attorneys, members of our legal insurance plans can resolve legal matters that range from buying a new home to adopting a child. You can learn more at legalplans.com.
Whether you are making a will after starting a family, negotiating the contract on your dream home, or just want the peace of mind of having our attorneys on your side, we make it easy and affordable to get quality legal help.",MetLife Legal Plans,-1,Remote,-1,-1,-1,-1,-1,-1
